"course_id","hp","descr"
"799G43",18.0,"Verksamhetsförlagd utbildning"
"799G40",15.0,"Praktik"
"799G41",30.0,"Praktik"
"9FRA21",30.0,"Franska (61-90 hp)"
"8ATG20",22.5,"Människans aktivitetsförmåga - utredning. grundnivå"
"8ATG21",7.5,"Arbetsterapeutens yrkesutövning - utredning. grundnivå"
"9SV231",15.0,"Språkbeskrivning (31-45hp)"
"8ATG53",7.5,"Arbetsterapi i ett internationellt sammanhang"
"TKMJ15",6.0,"Miljömanagement"
"920G01",7.5,"Artistic Methods in Education"
"920G06",7.5,"Barns bildspråkliga utveckling 2"
"8ATG50",18.0,"Arbetsterapi i ett omvärldsperspektiv"
"714G10",7.5,"ORD-kurs 1. Ortnamn. runor. dialekter. Ortnamn"
"HBEB52",12.0,"Kommunikation i och mellan grupper"
"HBEB53",12.0,"Kommunikation och påverkan ur ett individperspektiv"
"LXCA28",7.5,"Motorik och gymnastik"
"LXCA29",15.0,"Natur-och kulturvägledning med inriktning mot utomhuspedagogik"
"LXCA24",7.5,"Utomhuspedagogik -elevsäkerhet -ledarskap"
"LXCA25",7.5,"Friluftsliv.orientering och friidrott"
"LXCA26",7.5,"Skapa motivation genom upplevelser"
"LXCA27",7.5,"Bollen i skolan"
"LXCA22",7.5,"Miljöcertifieringen.arterna och landskapet"
"LXCA23",7.5,"Utomhuspedagogik med inriktning mot natur-och kulturmiljöer"
"TMER15",7.5,"Ergonomi - metodkurs"
"8FA107",7.5,"Public Health Informatics Theoretical Foundations"
"TMER17",7.5,"Kognitiv ergonomi o människa-maskin-system"
"8FA105",7.5,"Pedagogiska processer i hälso- och sjukvården del I"
"TFFM25",1.5,"Fysikaliska utblickar"
"8FA103",7.5,"Arbetsterapi inom området psykiska och/eller kognitiva funktionshinder"
"TMER13",7.5,"Belastningsergonomi o fysiska miljöfaktorer"
"8FA101",7.5,"Alternativ kommunikation. utredning. intervention och utvärdering"
"TMEI68",4.5,"Elkraftteknik"
"TMER19",7.5,"Organisation och förändringsarbete"
"8FA109",15.0,"Examensarbete - magister/Arbetsterapi"
"TMTS53",8.0,"Projektkurs. resårstoppade möbler"
"TMTS52",6.0,"Möbeldesign och träteknisk produktutveckling"
"TMTS51",8.0,"Material och tillverkningsteknik"
"TMTS57",18.0,"Projektkurs -  möbelkonservering"
"TMTS56",8.0,"Möbelindustriella material och tillverkningstekniker"
"TMTS55",8.0,"Projektkurs - möbeldesign VI"
"TMTS54",8.0,"Projektkurs. fördjupning av stoppningstekniker"
"TMTS59",24.0,"Tillämpningskurs"
"TMTS58",12.0,"Fanermöbelteknik. fk"
"ÖFVHEL",13.5,"Hälsa - etik - lärande"
"LSKICK",0.0,"Betyg i lärarskicklighet efter fullgjord praktikutbildning"
"TFYT01",6.0,"Kemi"
"LIFRA1",30.0,"Franska (1-20)"
"HFÖC09",30.0,"Företagsekonomi 3. inriktning mot marknadsföring"
"FPE019",30.0,"Överbryggande kurs i vuxenpedagogik för folkbildningsverksamma"
"FPE010",30.0,"Förändrings- och utvecklingsarbete"
"HFÖC07",7.5,"Företagets internationalisering och de nya tillväxtmarknaderna"
"HFÖC06",7.5,"Ledarskap"
"9ENA31",15.0,"Examensarbete inom engelska. forskningsproduktion (76-90 hp)"
"LAPAC3",15.0,"Läraren och lärarens arbete"
"LAPAC2",15.0,"Läraren och lärarens arbete"
"LAPAC1",15.0,"Läraren och lärarens arbete"
"VME142",15.0,"Ultraljudsdiagnostik"
"TQET01",12.0,"Examensarbete"
"LGR110",15.0,"Barns och ungdoms läsning"
"LYAB01",30.0,"Religionsvetenskap 2 Gy"
"9TK211",15.0,"Teknikens väsen (1-15hp)"
"HKTMA1",60.0,"Kammarmusik 1-40p"
"THFR33",3.0,"Franska Yi III"
"THFR32",8.0,"Franska Yi. II"
"TSBB03",7.0,"Signal- och bildbehandling"
"THFR30",7.0,"Franska Yi"
"TSBB05",6.0,"Datorseende"
"HSKX91",0.0,"Samhällsvetenskapligt seminarium"
"TSBB07",6.0,"Bildanalys"
"TSBB06",6.0,"Multidimensionell signalanalys"
"TKMM50",6.0,"Applications of Manufacturing Simulation"
"TSBB08",6.0,"Digital bildbehandling grundkurs"
"715A01",30.0,"Tyska 4. avancerad kurs"
"HKVX03",30.0,"Genusforskning - begrepp. teorier och metoder"
"HKVX07",30.0,"Kvinnovetenskap 2"
"HKVX06",30.0,"Kvinnovetenskap 1"
"FSV029",30.0,"Nusvenska 1"
"FSV028",30.0,"Svenska för invandrarundervisare 3"
"TNKE01",4.5,"Mobil kommunikation för ITS"
"9DA311",15.0,"Datavetenskap (1-15hp)"
"LLPC05",30.0,"Engelska för lärare 41-60 poäng"
"LSSPC1",15.0,"Spanska (41-50)"
"LLPC07",30.0,"Musiskt lärande (41-60)"
"9SA211",15.0,"Svenska språkets struktur (1-15hp)"
"HMAB02",7.5,"Numeriska metoder och MATLAB - en introduktion"
"HMAB01",7.5,"Matematikdidaktik. fördjupning"
"764G06",6.0,"Diskret matematik och logik"
"764G07",15.0,"Matematisk analys"
"764G04",7.5,"Diskret matematik"
"764G05",6.0,"Diskret matematik"
"764G02",15.0,"Envariabelanalys"
"764G03",7.5,"Flervariabelanalys"
"TMIE10",15.0,"Arbetsvetenskap. projektkurs"
"764G01",7.5,"Linjär algebra"
"LUAA03",30.0,"Påbyggnadsutbildning till vuxenlärare"
"LUAA02",30.0,"Påbyggnadsutbildning till vuxenlärare"
"LATVB1",15.0,"Läraren och kunskapen"
"LATVB7",15.0,"Forskningsmetodik och vetenskapsteori"
"LATVB6",15.0,"Ämnesdidaktik och verksamhetsförlagd utbildning"
"TSDT67",7.5,"Krets- och mätteknik"
"TSDT66",5.0,"Kretsteori och mätteknik"
"TSDT65",6.0,"Krets- och mätteknik"
"TSDT64",6.0,"Krets- och mätteknik"
"TSDT63",5.0,"Krets- och mätteknik"
"722A29",15.0,"Industriell marknadsföring och Supply Chain Management"
"722A24",9.0,"Contemporary Business Processes - Strategy and Internationalisation in a Cultural Context"
"722A25",9.0,"Project Management in International Settings"
"722A26",10.0,"Advanced Consumer Marketing"
"922G01",7.5,"Film. Video as Aesthetic Expression"
"722A20",30.0,"Magisteruppsats"
"722A21",10.0,"Perspectives on Human Resource Management. Master Course"
"TSDT69",10.0,"Kretsteori"
"722A23",9.0,"Leadership and Organisation"
"TSIU61",6.0,"Reglerteknik"
"TSIU60",3.0,"Industriella styrsystem"
"LAMAA1",15.0,"Matematik"
"TNDE30",6.0,"Kommunikation för tekniker"
"TNDE32",3.0,"Kommunikation för tekniker. del 2"
"TNDE37",9.0,"Kretsteori"
"TSEK15",4.5,"Introduktion till konstruktion av inbyggda DSP-processorer"
"TSEK10",1.5,"Utvärdering av IC-krets"
"TSEK11",2.0,"Utvärdering av IC-krets"
"HMXA11",15.0,"Att hantera miljöfrågor"
"HMXA10",15.0,"Att studera miljöfrågor som komplexa system"
"TMER01",7.5,"Ergonomi - propedeutisk kurs"
"754G24",7.5,"Föremålsvård - textil och papper. grundkurs"
"LPNAA9",15.0,"Oorganisk kemi"
"9FYA11",15.0,"Fysik (61-75 hp)"
"LPNAA2",15.0,"Biologi 1L"
"LPNAA3",15.0,"Kemi"
"LPNAA1",15.0,"Naturvetenskap 1"
"LPNAA7",15.0,"Organisk kemi och biokemi"
"LPNAA4",15.0,"Fysikens kunskapsväg"
"LPNAA5",15.0,"Naturens utveckling - Naturens resurser"
"HIVLD1",7.5,"Locating Oneself in Global Learning"
"762G01",7.5,"Romani chib"
"HIVLD3",7.5,"Global/Local Learning"
"HIVLD2",7.5,"Work and Learning"
"HIVLD5",7.5,"Understanding Research"
"HIVLD4",7.5,"Fostering Learning in Practice"
"TSXD10",15.0,"Examensarbete"
"HIVLD6",7.5,"Adult Learning Perspectives and Contexts"
"HFÖA71",15.0,"Ekonomisystem"
"TEXD05",7.5,"Komplettering examensarbete"
"LPNSG9",15.0,"Samhälle och kultur IX - Examensarbete"
"LPNSG6",15.0,"Samhälle och kultur VI - Teknik och idéer"
"LPNSG7",15.0,"Samhälle och kultur VII - Gräv där du står"
"LPNSG4",15.0,"Samhälle och kultur IV - Politik. välfärd och resurser"
"LPNSG5",15.0,"Samhälle och kultur V - Skriften och människan"
"LPNSG3",15.0,"Samhälle och kultur III - Religion och makt"
"8INA18",15.0,"Självständigt arbete med inriktning mot intensivvård (magisterexamen)"
"HKVA41",19.5,"Kultur och samhälle från forntiden till 1600"
"741A02",7.5,"Minnets och glömskans processer i den offentliga miljön. avancerad nivå"
"TXDT02",12.0,"Programutvecklingsmetodik"
"TXDT04",6.0,"Programming with Applications in Engineering"
"TNGD23",6.0,"Vetenskaplig metod"
"TNE060",6.0,"RF-elektronik"
"TNE063",6.0,"Laddningstransport i organiska och oorganiska material"
"TNGD20",10.0,"Grafiskt design projekt - Kampanj. event och varumärkesprofilering"
"TNE065",6.0,"Projektstyrning"
"TNE064",12.0,"Digital kommunikationselektronik"
"TNGD25",8.0,"3D Grafik"
"TNE066",6.0,"Telekommunikation"
"TNE069",10.5,"RF Systemutveckling"
"TNE068",4.5,"Microchipteknologi och -tillverkning"
"HSEXD3",30.0,"Examensarbete inom socialt arbete"
"9GF351",15.0,"Grundläggande färdigheter i läsning och skrivning (1-15hp)"
"9GF352",15.0,"Grundläggande färdigheter i läsning och skrivning"
"924G11",7.5,"Pedagogiskt ledarskap"
"NKEC72",15.0,"Organisk analytisk kemi"
"NKEC73",7.5,"Miljökemi"
"NKEC70",7.5,"Computational Chemistry"
"LGR475",7.5,"Trä 3"
"LGR472",6.0,"Slöjd i andra material"
"TEIO45",4.5,"Teknikföretagens organisationsutveckling och tillväxt"
"LPNSGX",30.0,"Samhälle och kultur X - Examensarbete D-nivå. 30 hp"
"9PA291",15.0,"Kunskap. lärande och pedagogiska strategier med perspektiv på ungas och vuxnas lärande"
"HSKYA1",15.0,"Kvalitativa forskningsmetoder i praktik"
"TDDB97",10.5,"Medieinformatik. projekt 2"
"TDDB96",7.5,"Kognitiv modellering"
"TDDB95",7.5,"GIS for Transport Applications"
"TDDB94",12.0,"Diskret matematik och logik"
"TDDB93",9.0,"Programmering i inkrementellt system"
"TDDB92",9.0,"Programmering i inkrementellt system"
"TDDB91",4.5,"Människa-datorinteraktion"
"TDDB90",13.5,"Diskret matematik och logik"
"NFXD40",60.0,"Examensarbete"
"TNM069",6.0,"Grafisk design och kommunikation"
"TNM068",4.5,"Datorgrafik"
"TSFS10",15.0,"Industriprojekt"
"TFFY24",7.0,"Fysik"
"TNM061",6.0,"3-D Datorgrafik"
"TNM060",6.0,"Teknisk projektledning för audiovisuell medieproduktion"
"TNM063",6.0,"Ljudteknik II"
"TNM065",6.0,"Dokumentstrukturer"
"TNM064",9.0,"Fysikaliska modeller"
"TNM067",6.0,"Vetenskaplig visualisering"
"TNM066",6.0,"Datamodeller för kognitiva processer"
"760G02",15.0,"Omvärldsanalys ur ett informationsvetenskapligt perspektiv. grundkurs"
"TMPT45",7.0,"Produktionsteknik Im"
"BFL110",18.0,"Fysik för tekniskt/naturvetenskapligt basår"
"BFL111",15.0,"Fysik för tekniskt/naturvetenskapligt bastermin"
"760G04",7.5,"Information. kunskap och vetenskap. fördjupningskurs"
"LGR615",4.5,"Elever med särskilda behov. specialpedagogiska metoder"
"ÖLABT5",30.0,"Termin 5 utb biomedicinsk analytiker"
"ÖLABT6",30.0,"Termin 6 utb biomedicinsk analytiker"
"VFUBAM",0.0,"Verksamhetsförlagd utbildning"
"8BMG02",7.5,"Introduction to Medical Biosciences. grundnivå"
"TNE090",6.0,"Trådlösa sensornätverk"
"721A21",7.5,"Business Ethics"
"HKGC18",7.5,"Ergonomi och design"
"HQVA01",30.0,"Kvinnovetenskap 1"
"768A07",30.0,"Uppsats"
"TBME60",9.0,"Systemfysiologi"
"HQVA05",7.5,"Feministiska klassiker"
"HQVA06",7.5,"Våld. kön och makt"
"HKGC10",7.5,"Användbarhetsorienterad systemutveckling"
"HKGC11",7.5,"Databaser - design och programmering"
"HKGC12",7.5,"Utveckling och individuella skillnader"
"HKGC13",7.5,"Kognitiv modellering"
"HKGC17",7.5,"Språkteknologi"
"LKDA31",7.5,"Att undervisa för global förståelse"
"LKDA30",7.5,"Kulturpedagogik"
"LKDA33",7.5,"Grupprocesser med  inriktning mot konflikthantering"
"LKDA34",7.5,"Grupprocesser med fokus på ledarskap"
"LKDA37",7.5,"Kommunikation. tal- och språkstörningar"
"729G30",18.0,"Kandidatuppsats i kognitionsvetenskap"
"729G31",6.0,"Kognitionsvetenskaplig fördjupningskurs"
"TSTE93",6.0,"Analog konstruktion"
"TSTE92",6.0,"Elektriska kretsar"
"TSTE91",12.0,"Systemkonstruktion"
"TSTE90",7.5,"Systemkonstruktion"
"9TM321",15.0,"Konstruktion i trä och metall (16-30 hp)"
"9MA341",15.0,"Analys och statistik (46-60 hp)"
"LNAA46",7.5,"Kretslopp"
"LPMAA2",15.0,"Matematik G1A"
"LNAA44",7.5,"Matematik för lärare II"
"LNAA45",7.5,"Matematik för lärare I"
"LPMAA7",15.0,"Matematik G3"
"LPMAA6",15.0,"Matematik Gy2"
"LPMAA5",15.0,"Matematik G2"
"LPMAA4",15.0,"Matematik Gy1"
"LPMAA9",15.0,"Matematik Gy4"
